"","pair_id","cor","ortho"
"110","10541_ID",-0.367019744568593,"conserved_pair"
"111","10542_ID",0.0299722549780358,"conserved_pair"
"112","6330_ID",-0.294287725736232,"conserved_pair"
"113","7861_ID",0.173992673992674,"conserved_pair"
"114","8326_ID",NA,"conserved_pair"
"115","8797_ID",NA,"conserved_pair"
"116","9071_ID",NA,"conserved_pair"
"117","5941_ID",0.0123031399657,"conserved_pair"
"118","12128_ID",0.0992662565729929,"conserved_pair"
"119","12421_ID",NA,"conserved_pair"
"120","7085_ID",0.065475189085867,"conserved_pair"
"121","12069_ID",-0.218704376074935,"conserved_pair"
"122","7858_ID",-0.00427611564207886,"conserved_pair"
"123","9177_ID",0.315026122516302,"conserved_pair"
"124","6960_ID",-0.00642006252951238,"conserved_pair"
"125","9073_ID",NA,"conserved_pair"
"126","12215_ID",0.360064142975899,"conserved_pair"
"127","6358_ID",-0.0772401169127297,"conserved_pair"
"128","6869_ID",0.203920123046787,"conserved_pair"
"129","9330_ID",0.251346267138224,"conserved_pair"
"130","9621_ID",0.1270015179618,"conserved_pair"
"131","8310_ID",-0.0755369620047666,"conserved_pair"
"132","12779_ID",0.542756036421448,"conserved_pair"
"133","12460_ID",-0.0819660444164672,"conserved_pair"
"134","7161_ID",0.30934925186243,"conserved_pair"
"135","8123_ID",0.0251789873349222,"conserved_pair"
"136","5943_ID",-0.0495110024449878,"conserved_pair"
"137","8164_ID",0.188370115044286,"conserved_pair"
"138","6836_ID",0.427713900446353,"conserved_pair"
"139","8015_ID",0.442485060945714,"conserved_pair"
"140","6789_ID",-0.0322549180529821,"conserved_pair"
"141","12076_ID",0.449654245050757,"conserved_pair"
"142","6723_ID",0.0928527967994266,"conserved_pair"
"143","7874_ID",0.314395928739783,"conserved_pair"
"144","6464_ID",0.0847043410801298,"conserved_pair"
"145","12896_ID",0.360189914415826,"conserved_pair"
"146","8334_ID",0.0753074647526994,"conserved_pair"
"147","6466_ID",0.275219678337325,"conserved_pair"
"148","7360_ID",-0.0697310982997141,"conserved_pair"
"149","9326_ID",0.160620524554411,"conserved_pair"
"150","12005_ID",0.659154951190485,"conserved_pair"
"151","12006_ID",0.334186950778393,"conserved_pair"
"152","12182_ID",0.190600510448571,"conserved_pair"
"153","9413_ID",0.522221901859203,"conserved_pair"
"154","12163_ID",0.0814802353068567,"conserved_pair"
"155","12468_ID",-0.286262397720216,"conserved_pair"
"156","12373_ID",NA,"conserved_pair"
"157","9186_ID",0.296784602665925,"conserved_pair"
"158","12437_ID",-0.00720103636543246,"conserved_pair"
"159","7142_ID",0.534601403663197,"conserved_pair"
"160","7044_ID",0.421275389815936,"conserved_pair"
