"","mouse_pair_id","cor","ortho"
"92","2463_ID",0.276531954447848,"pseudopairs_in_mouse_not_human"
"93","2464_ID",NA,"pseudopairs_in_mouse_not_human"
"94","2472_ID",0.306097660733146,"pseudopairs_in_mouse_not_human"
"95","2477_ID",0.311299092727447,"pseudopairs_in_mouse_not_human"
"96","2481_ID",-0.188261580144991,"pseudopairs_in_mouse_not_human"
"97","2482_ID",-0.188261580144991,"pseudopairs_in_mouse_not_human"
"98","2483_ID",-0.103766364242482,"pseudopairs_in_mouse_not_human"
"99","2503_ID",-0.400502751457792,"pseudopairs_in_mouse_not_human"
"100","2508_ID",NA,"pseudopairs_in_mouse_not_human"
"101","2511_ID",-0.0255351434586108,"pseudopairs_in_mouse_not_human"
"102","2522_ID",NA,"pseudopairs_in_mouse_not_human"
"103","2528_ID",-0.0643839359344359,"pseudopairs_in_mouse_not_human"
"104","2537_ID",0.0698856557814612,"pseudopairs_in_mouse_not_human"
"105","2541_ID",-0.0196412223404717,"pseudopairs_in_mouse_not_human"
"106","2542_ID",0.0335988729718564,"pseudopairs_in_mouse_not_human"
"107","2547_ID",NA,"pseudopairs_in_mouse_not_human"
"108","2551_ID",NA,"pseudopairs_in_mouse_not_human"
"109","2563_ID",NA,"pseudopairs_in_mouse_not_human"
"110","2585_ID",NA,"pseudopairs_in_mouse_not_human"
"111","2597_ID",0.245898133249402,"pseudopairs_in_mouse_not_human"
"112","2598_ID",0.3174452464895,"pseudopairs_in_mouse_not_human"
"113","259_ID",0.632943815335866,"pseudopairs_in_mouse_not_human"
"114","2613_ID",NA,"pseudopairs_in_mouse_not_human"
"115","2615_ID",NA,"pseudopairs_in_mouse_not_human"
"116","2622_ID",-0.476513876124921,"pseudopairs_in_mouse_not_human"
"117","2635_ID",0.271756982159439,"pseudopairs_in_mouse_not_human"
"118","2639_ID",0.206921142986211,"pseudopairs_in_mouse_not_human"
"119","2656_ID",-0.172523961661342,"pseudopairs_in_mouse_not_human"
"120","2674_ID",NA,"pseudopairs_in_mouse_not_human"
"121","2678_ID",0.135760168804254,"pseudopairs_in_mouse_not_human"
"122","2683_ID",NA,"pseudopairs_in_mouse_not_human"
"123","2694_ID",0.313515658462843,"pseudopairs_in_mouse_not_human"
"124","2696_ID",0.365933520695538,"pseudopairs_in_mouse_not_human"
"125","2717_ID",-0.0735292588103334,"pseudopairs_in_mouse_not_human"
"126","2719_ID",NA,"pseudopairs_in_mouse_not_human"
